Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Follower Count,Followers gained,Views gained,Partnered,Mature,Language
LAGTVMaximusBlack,123125340,161535,7138,725,256353,0,13251,2310313,TRUE,TRUE,English
소니쇼 (sonycast_),290499225,100605,7998,2840,255949,0,54706,10802748,TRUE,FALSE,Korean
rxnexus,169026750,112095,6765,1475,255944,0,23213,5862326,TRUE,FALSE,Russian
NeZaK_,205442370,134205,7262,1407,255840,0,207722,3017013,TRUE,FALSE,Italian
OfficialAndyPyro,215726910,209625,9676,1027,255595,0,29422,10284627,TRUE,TRUE,Finnish
SmallAnt,166352115,96720,11518,1821,255156,0,218287,2695198,TRUE,FALSE,English
Overpow,309892665,153015,10858,2004,254516,0,29344,9020762,TRUE,TRUE,Polish
Gigz,126436725,98685,15061,1136,254401,0,44075,1958787,TRUE,FALSE,English
GrandPOObear,231011760,101175,13295,2230,253619,0,44926,3877237,TRUE,TRUE,English
Kotton,244412715,73005,58818,2757,253065,0,80920,4459178,TRUE,TRUE,English
veloxey,135057600,88620,8596,1273,252913,0,180142,1874494,TRUE,FALSE,Italian
pijack11,243578730,148140,8181,1569,252717,0,144993,6752832,TRUE,TRUE,Portuguese
Sequisha,426325350,163530,19755,2540,252495,0,86220,7404102,TRUE,TRUE,English
resttpowered,304222200,148335,9248,2072,252184,0,37681,8585834,TRUE,FALSE,Slovak
IrmanPlay,205792560,42570,17697,2612,252042,0,232876,3312084,FALSE,FALSE,Russian
LotharHS,208564530,152235,14561,898,251812,0,136198,6742783,TRUE,FALSE,Polish
TidesofTime,218415420,88485,12457,2104,251700,0,27110,2240586,TRUE,FALSE,English
선바 (sunbaking),240663180,86235,8260,2762,251416,0,98720,3298202,TRUE,FALSE,Korean
THump,169365870,92055,8063,1885,250786,0,115028,2168664,TRUE,TRUE,English
Mibrtv,228640020,82620,151094,3310,250709,0,242229,6671227,TRUE,FALSE,Portuguese
LVNDMARK,788421150,199350,96236,3688,248829,0,244295,8815201,TRUE,FALSE,English
Dota2ruhub2,307331445,55230,54508,5158,248277,0,71813,13417924,TRUE,FALSE,Russian
buddha,438460680,135090,11971,3184,247303,0,24901,6326808,TRUE,TRUE,English
saintvicious,244262295,168030,5370,1422,247236,0,44436,3133396,TRUE,FALSE,English
AsmodaiTV,379345935,132360,11751,2796,247056,0,30588,6547592,TRUE,FALSE,English
cellinrj,154982550,87945,7136,1711,245715,0,122045,3621969,TRUE,TRUE,Portuguese
LexVeldhuis,380251830,73935,58416,4939,244467,0,66680,14339774,TRUE,FALSE,English
ESAMarathon,433329345,301395,22132,1460,244440,0,35038,32500708,TRUE,FALSE,English
iGeStarK,131957700,79455,12893,1282,244437,0,231731,2948954,TRUE,FALSE,Spanish
erobb221,162559230,82470,10391,2028,244207,0,88737,2352357,TRUE,FALSE,English
Tanxlive,159875505,161010,6899,971,244133,0,40087,7067999,TRUE,TRUE,Thai
Ponce,355091505,111360,23255,3043,242969,0,196880,13687141,TRUE,FALSE,French
foggedftw2,142444290,111675,8622,1220,242205,0,109500,3438208,TRUE,TRUE,English
EAMaddenNFL,159449055,19995,57179,5697,241924,0,72319,5152605,TRUE,FALSE,English
NymN,340095510,100125,23488,3402,241746,0,111122,4409296,TRUE,TRUE,English
daltoosh,319194420,154440,16445,2038,241602,0,163486,3665065,TRUE,FALSE,English
꽃핀 (cherrypach),222377040,94125,10985,2369,240835,0,90457,6606649,TRUE,FALSE,Korean
Sjow,331726155,149700,8140,2189,240206,0,21662,3365340,TRUE,FALSE,English
Albralelie,232815960,128580,18730,1668,240030,0,216977,5392597,TRUE,FALSE,English
Pieface23,201823125,93360,14072,2149,238155,0,127444,2037389,TRUE,FALSE,English
Faux,177800325,151170,15167,1133,237909,0,29301,3248586,TRUE,FALSE,English
Pikabooirl,225939795,103740,21309,2146,237214,0,78399,5574448,TRUE,FALSE,English
ShivFPS,355389630,203175,7216,1782,236407,0,174213,6900666,TRUE,FALSE,English
Mmorpg,167774640,182925,4994,908,235167,0,19566,3055373,TRUE,FALSE,English
RduLIVE,525737445,127380,11854,3953,234884,0,62490,7653194,TRUE,FALSE,English
gamelifeow,229805670,99600,37939,1659,234471,0,169229,8373012,TRUE,FALSE,Russian
kragiee,143449350,121890,6298,1137,234312,0,65977,3136101,TRUE,FALSE,English
iLame,203117655,161025,4911,1243,233263,0,66490,9831952,TRUE,TRUE,Russian
DieHahn,152767545,125025,8048,1229,231584,0,44782,3418935,TRUE,TRUE,German
Robbaz,125249820,86415,4938,1427,229652,0,23827,5009610,TRUE,FALSE,English
GoBGG,130398315,92730,4198,1400,229586,0,37272,5971819,TRUE,FALSE,French
Halifax,126885855,160500,12478,793,228316,0,52433,2955093,TRUE,FALSE,English
TaKeTV,130220190,108555,31809,829,227062,0,13033,2855045,TRUE,FALSE,German
UCCleague,152021685,131070,14003,1378,226974,0,46807,9915656,TRUE,FALSE,Russian
Lutti,143841150,89220,37121,1153,226344,0,163441,3727211,TRUE,FALSE,French
SaltyBet,290991045,508140,3467,571,224099,0,69465,4509671,TRUE,FALSE,English
Th3Antonio,176072760,62175,13955,2419,223756,0,87872,5222867,TRUE,FALSE,Spanish
AkTep,156236730,94545,6300,1541,222796,0,51862,4273193,TRUE,TRUE,Russian
SPYGEA,452479680,143730,17228,3131,222046,0,92067,10569192,TRUE,FALSE,Japanese
HAchubby,203908095,73110,13675,2779,221461,0,159519,5075885,TRUE,FALSE,English
Etoiles,185982570,78165,45364,2090,220873,0,167386,6466352,TRUE,FALSE,French
양아지 (dkwl025),125872350,103365,6861,1237,220819,0,114560,4933531,TRUE,FALSE,Korean
Recrent,203854050,129375,6781,1502,220789,0,120204,8936320,TRUE,FALSE,Russian
Tiagovski555YT,178563045,76065,11245,2061,220585,0,130719,5057048,TRUE,FALSE,Portuguese
H2P_Gucio,575998575,157995,10011,3581,220488,0,78264,13401489,TRUE,FALSE,Polish
btscsgo,357966315,57165,74949,6530,219539,0,166599,9173781,TRUE,FALSE,English
mch_AGG,443328990,499575,11191,884,219431,0,124548,11142208,TRUE,TRUE,Portuguese
btssmash,389890800,362970,94083,1061,216558,0,81658,6933788,TRUE,FALSE,English
The_Happy_Hob,295999245,106125,8560,2834,216106,0,38712,4158704,TRUE,TRUE,English
개복어 (dogswellfish),273920670,161235,10929,1601,215413,0,37690,10626908,TRUE,FALSE,Korean
RebeuDeter,135843000,18510,24675,7141,215360,0,194128,2560454,TRUE,FALSE,French
코렛트 (collet11),174087030,136065,6144,1248,215304,0,73181,5543661,TRUE,FALSE,Korean
옥냥이 (rooftopcat99),218888325,92805,8794,2256,214028,0,59213,5969221,TRUE,FALSE,Korean
빅헤드 (bighead033),122523705,153000,3940,793,213212,0,52289,4399897,TRUE,FALSE,Korean
JLBichouu,200256675,90720,16461,2039,212578,0,150452,4001304,TRUE,FALSE,French
연두는말안드뤄 (rudbeckia7),311520135,126300,7111,2478,212053,0,24606,9675073,TRUE,FALSE,Korean
Wackyjacky101,130390590,130335,5981,1012,209700,0,72794,9213152,TRUE,FALSE,English
Limmy,148371105,90600,6575,1641,207508,0,136263,2433739,TRUE,TRUE,English
Anton,581034300,142890,137531,3199,207484,0,128050,6176254,TRUE,TRUE,English
狂暴小建 (a541021),516009420,166575,8337,3105,207369,0,18023,18201933,TRUE,FALSE,Chinese
금사향 (sah_yang),204029970,125325,7143,1559,206794,0,108366,7584329,TRUE,FALSE,Korean
nookyyy,135590925,149220,7393,683,206681,0,78987,2481667,TRUE,FALSE,German
sacy,128171445,96630,10692,1304,206184,0,117190,3590048,TRUE,FALSE,Portuguese
Mazarin1k,220905615,202410,9605,780,205378,0,68292,9980766,TRUE,FALSE,Czech
다주 (dda_ju),168767490,108690,9137,1466,205041,0,52071,3755880,TRUE,FALSE,Korean
Sloot,195525465,207555,21283,937,205002,0,23506,4415937,TRUE,FALSE,English
MinosTV_,338084550,167190,24576,2034,204605,0,192534,5554989,TRUE,TRUE,French
RoyalPhunk,311093010,104565,12141,2934,204451,0,34597,4921311,TRUE,TRUE,German
Werlyb,168339975,57105,37980,2399,204348,0,146852,5349362,TRUE,FALSE,Spanish
BeyondTheSummit_PT,282753480,339000,49496,807,203549,0,60955,9694977,TRUE,FALSE,Portuguese
DreamHackDota2_RU,152461155,6135,98717,22356,203419,0,30231,3637232,TRUE,FALSE,Russian
GodHunt,187099860,94590,19032,1820,202883,0,30738,7464390,TRUE,FALSE,Russian
